Player,Team,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
 ,,,,,,,,,,,
Patrick Mahomes II,KC,36.4,24.1,291.8,2.5,0.5,4.2,21,0.2,0.1,23.7
,high,38,25,315.8,3,0,5,26,0.3,0,29.7
,low,35.4,23,272,2.1,0.8,3.2,17.2,0,0.2,21.2
Russell Wilson,SEA,34.4,23.8,278,2.5,0.5,4.5,26.9,0.1,0.2,23.2
,high,36.7,26.2,294,3,0,5.3,29.8,0.2,0.1,29.6
,low,32.5,21,249,2,0.7,3.3,21,0,0.3,20.1
Kyler Murray,ARI,35.9,23.7,259.2,1.6,0.9,8,52.4,0.6,0.2,23.2
,high,38.5,25,291,2,0.8,9,61,1,0.1,28.9
,low,33.3,21.7,235.2,1,1.3,6.9,36.4,0.4,0.2,21.6
Deshaun Watson,HOU,34,22.8,279.1,2,0.6,5.2,29,0.3,0.2,22.2
,high,41,26,307,2.1,0,5.9,35.9,0.4,0,25.6
,low,29,19,231,1.9,0.9,4.6,24.9,0,0.3,20.4
Josh Allen,BUF,36.5,22.4,270.5,1.8,0.9,6.9,38.1,0.4,0.3,22.1
,high,39.1,24.8,294.4,2,0.7,8.1,45.1,0.7,0.1,25.8
,low,33,19.8,241.8,1.5,1,5.7,28.2,0,0.4,20.8
Justin Herbert,LAC,37.1,24.7,292.7,2.2,0.8,4.2,21.6,0.2,0.2,22
,high,40,28,324,3,0.6,5.4,28.4,0.4,0.1,28.7
,low,34.5,22.3,266,1.9,1,3.7,15.7,0,0.3,20.9
Lamar Jackson,BAL,27.6,17.2,212.3,1.4,0.7,9.4,54.2,0.4,0.3,20
,high,31.3,19.3,243.2,1.7,0.5,11.4,70.7,1,0.1,26.9
,low,23.4,14.8,177.2,1,1,7.9,43.7,0.2,0.4,18.8
Tom Brady,TB,37.4,24.4,283.1,2.2,0.5,1.5,3,0.1,0.1,19.7
,high,38.8,25.4,300.6,2.8,0,2.2,10,0.2,0.1,22.4
,low,35,23,258.3,1.9,0.8,0,0,0,0.2,17.8
Aaron Rodgers,GB,39.2,25.1,282.9,2,0.4,2.2,10.4,0,0.2,19.3
,high,46,28,341,2.1,0,3.4,16.3,0.1,0,23.3
,low,36.1,22.9,249,1.7,0.6,1.7,5,0,0.4,16.8
Ben Roethlisberger,PIT,36.6,24,272,2,0.7,1.8,5.4,0.1,0.1,18.4
,high,39,25,293,2.3,0,2.5,16,0.1,0,22.2
,low,33.2,22.2,254.5,1.7,0.9,0,0,0,0.2,16.7
Matt Ryan,ATL,38.2,25.6,298.8,1.8,0.7,2,7.8,0.1,0.2,18.4
,high,41,28,338,2,0.6,2.6,13,0.1,0.1,22
,low,34,22,277,1.5,1,1,1,0,0.2,17.9
Cam Newton,NE,29.3,18.6,212.8,1.1,0.9,8.9,41.1,0.5,0.2,18.4
,high,32.6,20.1,228.6,1.4,0.6,10,47,1,0.1,24.5
,low,27,17,195,0.8,1.1,8,36.8,0.3,0.2,16.7
Matthew Stafford,DET,38.4,24.9,292.4,1.8,0.7,2.3,8.5,0,0.2,18
,high,50,33,377,2,0.6,4,10,0.1,0.1,23.2
,low,34.9,22.4,261.8,1.5,1,1.1,6,0,0.3,16.6
Drew Brees,NO,36.2,26,287.1,1.8,0.5,1.3,1.9,0.1,0.1,18
,high,40,28,319,2.1,0,1.7,6,0.2,0,21.4
