Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
 ,,,,,,,,,
Alvin Kamara,NO,12.1,54.4,0.6,6.7,58.4,0.3,0.1,22.6
,high,17,70,1,9.1,89,0.5,0,25.2
,low,8.5,39,0.2,5.6,43.9,0,0.2,21.4
Christian McCaffrey,CAR,14.9,69.6,0.6,5.6,47,0.2,0.1,22.1
,high,16.9,83.2,1,6.7,55.4,0.3,0,24.3
,low,13.7,59,0.5,4,33,0,0.2,21.1
Dalvin Cook,MIN,19.1,88.9,0.9,3.2,26.9,0.1,0.1,20.6
,high,22.1,105,1.3,4,34.5,0.2,0.1,23.4
,low,16.1,72,0.5,2.3,15,0,0.2,15.6
Derrick Henry,TEN,21.6,101.3,0.8,1.9,15.5,0.1,0.1,18.7
,high,23.8,108.1,1,3,24,0.2,0.1,20.8
,low,18.1,93.9,0.3,1.1,9.4,0,0.2,17.3
James Conner,PIT,17.8,77.3,0.8,3,23.5,0.1,0.1,18.3
,high,23,91,1.1,4.5,36,0.2,0.1,20.1
,low,15.1,67,0.6,2,18,0,0.2,15.8
James Robinson,JAC,16.8,76.4,0.7,3.1,28.3,0.1,0.1,18.1
,high,19.2,90.4,1,3.7,43,0.2,0,19.3
,low,15,65,0.5,2.5,21.8,0,0.2,16.4
Chase Edmonds,ARI,12.8,60.3,0.6,3.5,29.2,0.2,0.1,16.6
,high,18.3,86,1,4.4,39.7,0.3,0,20.8
,low,4,17,0.2,2.6,17,0,0.2,8.6
Josh Jacobs,LV,19.1,80.4,0.7,2.6,19.2,0.1,0.1,16.6
,high,20.7,97.7,1,3,24,0.1,0.1,17.6
,low,17,66.2,0.4,2,16,0,0.2,13.8
David Montgomery,CHI,16.3,62.9,0.5,3,23.6,0.1,0.1,15
,high,17,68.3,1,4.2,32,0.2,0.1,18.4
,low,15.3,55,0.2,2.2,18,0,0.2,13.7
Clyde Edwards-Helaire,KC,12.9,60.2,0.5,2.8,25.3,0.1,0.1,15
,high,19.2,70,1,3.7,33,0.2,0,16.1
,low,10.7,48.3,0.2,2,19,0,0.2,13.9
Todd Gurley II,ATL,15.9,63.9,0.7,2.3,17.8,0.1,0.1,14.9
,high,16.7,72.4,1,3.4,23.5,0.1,0.1,17.1
,low,15,59,0.3,1.7,13.4,0,0.2,12.9
David Johnson,HOU,16,62.9,0.5,2.5,24,0.1,0.1,14.4
,high,19,74.5,0.7,3.6,36.7,0.2,0.1,16.9
,low,13,51,0,1.3,13,0,0.2,10
Melvin Gordon III,DEN,14.3,54.9,0.5,2.9,22.1,0.1,0.2,13.9
,high,17.1,65,1,4.3,36,0.3,0.1,17
,low,12.4,49.4,0.3,2,16,0,0.3,13
Antonio Gibson,WAS,14.1,51.8,0.5,2.7,21.8,0.1,0.1,13.4
,high,18.1,78.8,1,3,26,0.1,0,17.2
,low,12.4,21.1,0.1,2.3,17.7,0,0.2,8.3
Ezekiel Elliott,DAL,16.2,66.2,0.3,2.9,21.3,0.1,0.2,13.4
,high,19.1,76,0.6,4.5,33,0.1,0.1,16.3
,low,8.2,37.4,0,1.6,10.8,0,0.3,9.2
Justin Jackson,LAC,12.4,55.5,0.4,2.9,24.2,0.1,0.1,13.3
,high,17,68,1,3.5,34.1,0.2,0,17.9
,low,9.3,38,0,1.9,13,0,0.1,9.6
D'Andre Swift,DET,8.5,37.8,0.3,3.6,33.1,0.2,0.1,13.3
,high,12.9,54.2,0.5,5,46,0.4,0,16.7
,low,1.4,5,0,2.8,16.9,0,0.1,9.7
Aaron Jones,GB,10.1,46.7,0.4,3,24.2,0.1,0.1,13.2
,high,13.7,63.5,0.7,4.3,40,0.2,0.1,17.4
,low,7.2,32,0,2,15,0,0.2,8
Ronald Jones II,TB,13.1,53.1,0.5,2.5,18.4,0,0.1,12.7
,high,18.2,67,1,4.9,37,0.1,0.1,16.6
,low,11,43.5,0.3,1.1,7,0,0.2,11.2
JaMycal Hasty,SF,12.2,55,0.5,2.3,15.3,0.1,0.1,12.7
,high,17.4,72.7,1,6,29.4,0.1,0,16.5
,low,1,4,0,0.1,1,0,0.1,3
Jonathan Taylor,IND,12.6,53.5,0.3,2.5,21.5,0.1,0.1,12.2
,high,15.5,67.4,0.7,3.5,31,0.1,0,15.8
,low,10.2,37,0,2,16.3,0,0.1,9.9
DeeJay Dallas,SEA,11.8,50.4,0.4,2.3,17.2,0.1,0.1,12.1
,high,15.7,64.5,1,3.4,26.4,0.2,0,16.2
,low,1.9,7,0.1,0.4,4,0,0.1,4
Devin Singletary,BUF,11.1,49.6,0.2,2.7,20.4,0.1,0.1,11
,high,16.7,66,0.4,4,32,0.2,0,15.1
,low,8.6,37.1,0,1.9,15.1,0,0.1,9
Jerick McKinnon,SF,9.2,36.9,0.2,2.9,23.9,0.1,0.1,10.9
,high,13.4,56,0.4,4.2,32,0.4,0,16.6
,low,6.9,17.8,0,2,15,0,0.1,7.9
J.K. Dobbins,BAL,9.4,42.6,0.2,2.4,20.6,0.1,0.1,10.6
,high,15,65,0.3,4.2,37.6,0.2,0,12.1
,low,3.3,21,0,1.5,14,0,0.1,8.1
Leonard Fournette,TB,11.5,42.4,0.2,2.5,17.9,0.1,0.1,10.2
,high,17.1,60.6,0.5,4,29,0.1,0,13.8
,low,0.3,1,0,0,0,0,0.2,2.7
Damien Harris,NE,13.3,57.6,0.4,1,6.5,0,0.1,9.8
,high,20,75,1,2.6,18,0.1,0.1,15.3
,low,6.6,27.9,0.2,0.1,1,0,0.1,5.3
Zack Moss,BUF,10.3,42.4,0.4,1.5,11.3,0.1,0.1,9.6
,high,13,55,1,2.8,16.2,0.1,0,14.1
,low,7.6,31,0.3,0.8,7.3,0,0.1,7.9
Le'Veon Bell,KC,9.7,36.8,0.2,2.5,17.1,0.1,0.1,9.2
,high,13.4,44.9,0.5,4,21.9,0.1,0,12.5
,low,7.7,21.8,0,1.5,11.4,0,0.1,6.8
James White,NE,3.1,11.6,0,3.7,32.1,0.1,0,9.1
,high,4.6,17.7,0.1,5,39.8,0.3,0,10.2
,low,2,8,0,2.1,22,0,0.1,8.6
Wayne Gallman,NYG,10.3,42.9,0.2,2,13.5,0,0.1,9
,high,13,53,0.5,3.8,19.5,0.1,0,10.8
,low,6.1,24,0,1,7,0,0.1,6.1
J.D. McKissic,WAS,4.4,18,0.1,3.6,27.5,0.1,0.1,8.9
,high,6,24.7,0.2,5,35,0.2,0,10.3
,low,2.6,9,0,2.6,17.8,0,0.3,7.2
Nyheim Hines,IND,4.3,16.2,0.1,3.5,27.8,0.1,0.1,8.8
,high,5.8,21.1,0.1,4,30.8,0.2,0,10
,low,3,12.6,0,2.6,25,0,0.1,7.6
Joshua Kelley,LAC,10.4,39.3,0.2,1.8,14.6,0.1,0.1,8.6
,high,12.6,48.4,0.4,2.8,29,0.2,0.1,11.3
,low,9,32.6,0,0.2,2.5,0,0.2,5.8
Phillip Lindsay,DEN,10.5,47.3,0.2,1.6,9.9,0,0,8.5
,high,11.8,56.9,0.3,2.6,14.6,0,0,10.5
,low,9.6,36.1,0,0.8,5.5,0,0.1,7
Tyler Ervin,GB,6,25.7,0.1,2.7,17.8,0.1,0,7.8
,high,10.5,44.8,0.2,4,25,0.2,0,10.9
,low,0.7,5,0,1.9,11.2,0,0.1,4.6
Lamical Perine,NYJ,9.6,37.4,0.2,1.7,12.2,0,0,7.6
,high,12.3,47,0.3,2.9,16.8,0.1,0,9
,low,6.1,19,0,0.8,5.2,0,0.1,6.1
Jordan Howard,MIA,10.8,41,0.3,1.1,5.7,0,0,7.5
,high,14.7,54.8,0.5,2.2,9.8,0,0,10.6
,low,1.9,7,0,0.2,1,0,0.1,2.4
Gus Edwards,BAL,11.3,47.9,0.3,0.5,3.1,0,0,7.4
,high,15,66,1,1.2,6,0,0,12.5
,low,6,26.6,0.1,0,0,0,0.1,4.5
