Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
 ,,,,,,,,,
Davante Adams,GB,8.1,98.8,0.8,0,0,0,0,22.8
,high,9,113,1,0,0.1,0,0,25.4
,low,7.2,90.3,0.7,0,0,0,0.1,21.9
DeAndre Hopkins,ARI,7.3,93.7,0.6,0,0.2,0,0.1,20.3
,high,8.2,107,1,0.1,0.4,0,0,23.9
,low,5.8,83,0.5,0,0,0,0.1,18.4
Keenan Allen,LAC,7.5,89.2,0.6,0.1,0.7,0,0.1,20.2
,high,8.7,104,1,0.3,1.9,0,0,22.9
,low,6.1,75.8,0.4,0,0,0,0.1,18.6
Julio Jones,ATL,6.6,94,0.5,0.1,0.3,0,0,19.2
,high,7.2,103.8,1,0.1,0.6,0,0,22
,low,6.2,87.1,0.4,0,0,0,0.1,17.6
Stefon Diggs,BUF,6.4,87.7,0.6,0.2,1.2,0,0.1,18.8
,high,7.3,95,1,0.5,2.8,0,0,21.9
,low,5.3,74.6,0.4,0,0,0,0.1,16.8
Tyler Lockett,SEA,6.2,79.1,0.7,0.2,1.2,0,0,18.3
,high,7,88,1,0.7,4.7,0,0,21
,low,5.1,67,0.6,0,0,0,0.1,16.5
Adam Thielen,MIN,5.6,73.6,0.7,0.4,2.1,0,0.1,17.3
,high,7,84.4,1,0.6,3.6,0,0,19.9
,low,4.9,65.2,0.5,0.2,0.9,0,0.1,15.8
Terry McLaurin,WAS,5.8,82.3,0.5,0.1,0.5,0,0,17.2
,high,6,88,1,0.2,1,0,0,20.5
,low,5.5,72.7,0.3,0.1,0.2,0,0.1,15.5
D.K. Metcalf,SEA,5,80.2,0.7,0,0.2,0,0.1,17
,high,6,107,1,0.1,0.5,0,0,21.7
,low,3.5,56,0.4,0,0,0,0.2,13.1
Tyreek Hill,KC,4.9,72.4,0.7,0.8,5.4,0.1,0,17
,high,5.8,84.1,1,1.3,9.6,0.1,0,19.1
,low,4,53,0.5,0.3,1.8,0,0.1,14.2
Allen Robinson II,CHI,6.3,78.4,0.5,0.1,0.4,0,0.1,17
,high,7.2,90,1,0.2,1,0,0,20.4
,low,5.5,70.6,0.3,0.1,0.1,0,0.1,15.8
Robby Anderson,CAR,5.7,76.5,0.4,0.1,0.4,0,0.1,16
,high,7,89,1,0.2,1,0,0,20.6
,low,5.2,72.2,0.3,0,0,0,0.1,14.6
Justin Jefferson,MIN,4.8,76,0.6,0.1,0.4,0,0,15.8
,high,5.1,98,1,0.2,1.4,0,0,18.9
,low,4.3,63.5,0.4,0,0,0,0.1,13.8
D.J. Moore,CAR,5.4,76.9,0.4,0.2,2.1,0,0.1,15.5
,high,6.4,87.5,1,0.6,6.5,0,0,19.7
,low,4.3,69.9,0.2,0,0,0,0.1,13.7
Michael Thomas,NO,6.3,72.9,0.3,0,0,0,0,15.4
,high,8.3,88.1,0.5,0,0.3,0,0,18.3
,low,4,51,0,0,-0.2,0,0.1,11.4
Will Fuller V,HOU,4.6,69.4,0.6,0.1,0.5,0,0,15
,high,5.3,85,1,0.3,1,0,0,19.1
,low,3.3,44,0.4,0,0,0,0.1,11.8
A.J. Brown,TEN,4.4,69.9,0.6,0.1,1.2,0,0,14.9
,high,5,82,1,0.2,3.5,0.1,0,18.6
,low,3.1,48,0.4,0,0,0,0,11.8
DeVante Parker,MIA,4.6,65.7,0.5,0,0,0,0,13.8
,high,5.9,89,1,0,0.1,0,0,16.5
,low,3.7,52.9,0.2,0,0,0,0.1,11.6
Marvin Jones Jr.,DET,4.5,61.4,0.5,0,0,0,0,13.8
,high,6,73,1,0.1,0.1,0,0,17.8
,low,3.7,48.9,0.4,0,0,0,0,11.6
Amari Cooper,DAL,5.1,63.6,0.4,0.2,0.9,0,0,13.7
,high,6.3,79,1,0.3,1.6,0,0,17.6
,low,4.1,51.7,0.2,0,0,0,0.1,11.7
Mike Evans,TB,4.3,60.7,0.5,0,0,0,0,13.6
,high,6,76.9,1,0,0.1,0,0,17.9
,low,3.1,45.9,0.4,0,0,0,0,11.9
JuJu Smith-Schuster,PIT,4.9,59.2,0.5,0,0.1,0,0,13.5
,high,5.4,72,1,0,0.3,0,0,18.1
