Position,Floor,Median,Ceiling,Index,Name,ID,Salary,TeamAbbrev,Away,Home
QB,21.2,23.7,29.7,3,Patrick Mahomes,15713425,8100,KC,CAR,KC
QB,20.1,23.2,29.6,7,Russell Wilson,15713427,7600,SEA,SEA,BUF
QB,21.6,23.2,28.9,6,Kyler Murray,15713426,7800,ARI,MIA,ARI
QB,20.4,22.2,25.6,12,Deshaun Watson,15713428,7100,HOU,HOU,JAX
QB,20.8,22.1,25.8,14,Josh Allen,15713429,7000,BUF,SEA,BUF
QB,20.9,22.0,28.7,20,Justin Herbert,15713431,6800,LAC,LV,LAC
QB,18.8,20.0,26.9,17,Lamar Jackson,15713430,6900,BAL,BAL,IND
QB,16.7,18.4,22.2,30,Ben Roethlisberger,15713433,6500,PIT,PIT,DAL
QB,17.9,18.4,22.0,31,Matt Ryan,15713434,6400,ATL,DEN,ATL
QB,16.6,18.0,23.2,26,Matthew Stafford,15713432,6600,DET,DET,MIN
QB,17.2,17.8,23.0,46,Derek Carr,15713439,5700,LV,LV,LAC
QB,16.0,17.6,21.7,34,Ryan Tannehill,15713435,6300,TEN,CHI,TEN
QB,15.4,16.7,22.9,40,Teddy Bridgewater,15713437,6000,CAR,CAR,KC
QB,15.0,16.6,21.7,36,Kirk Cousins,15713436,6200,MIN,DET,MIN
QB,15.0,15.6,22.9,56,Daniel Jones,15713443,5400,NYG,NYG,WAS
QB,15.1,15.0,17.1,61,Drew Lock,15713446,5200,DEN,DEN,ATL
QB,13.8,14.9,17.3,54,Nick Foles,15713442,5500,CHI,CHI,TEN
QB,13.5,14.9,20.9,49,Philip Rivers,15713440,5600,IND,BAL,IND
QB,14.1,14.4,17.4,59,Kyle Allen,15713444,5300,WAS,NYG,WAS
QB,13.8,13.9,16.4,52,Tua Tagovailoa,15713441,5500,MIA,MIA,ARI
QB,13.9,13.8,16.8,80,Jake Luton,15713450,4900,JAX,HOU,JAX
QB,5.9,9.9,15.5,89,Garrett Gilbert,15713454,4800,DAL,PIT,DAL
QB,0.8,6.6,18.5,70,Ryan Fitzpatrick,15713447,5000,MIA,MIA,ARI
QB,3.4,6.0,6.4,90,Cooper Rush,15734118,4800,DAL,PIT,DAL
RB,21.1,22.1,24.3,0,Christian McCaffrey,15713483,8500,CAR,CAR,KC
RB,15.6,20.6,23.4,2,Dalvin Cook,15713485,8200,MIN,DET,MIN
RB,17.3,18.7,20.8,4,Derrick Henry,15713487,7900,TEN,CHI,TEN
RB,15.8,18.3,20.1,19,James Conner,15713491,6900,PIT,PIT,DAL
RB,16.4,18.1,19.3,16,James Robinson,15713489,7000,JAX,HOU,JAX
RB,8.6,16.6,20.8,22,Chase Edmonds,15713493,6800,ARI,MIA,ARI
RB,13.8,16.6,17.6,32,Josh Jacobs,15713501,6300,LV,LV,LAC
RB,13.7,15.0,18.4,47,David Montgomery,15713513,5700,CHI,CHI,TEN
RB,13.9,15.0,16.1,38,Clyde Edwards-Helaire,15713505,6100,KC,CAR,KC
RB,12.9,14.9,17.1,35,Todd Gurley II,15713503,6200,ATL,DEN,ATL
RB,10.0,14.4,16.9,50,David Johnson,15713515,5600,HOU,HOU,JAX
RB,13.0,13.9,17.0,57,Melvin Gordon III,15713519,5300,DEN,DEN,ATL
RB,8.3,13.4,17.2,45,Antonio Gibson,15713511,5800,WAS,NYG,WAS
RB,9.2,13.4,16.3,28,Ezekiel Elliott,15713497,6600,DAL,PIT,DAL
RB,9.6,13.3,17.9,74,Justin Jackson,15713529,4900,LAC,LV,LAC
RB,9.7,13.3,16.7,71,D'Andre Swift,15713527,5000,DET,DET,MIN
RB,9.9,12.2,15.8,41,Jonathan Taylor,15713507,6000,IND,BAL,IND
RB,4.0,12.1,16.2,69,DeeJay Dallas,15713533,5000,SEA,SEA,BUF
RB,9.0,11.0,15.1,92,Devin Singletary,15713541,4700,BUF,SEA,BUF
RB,8.1,10.6,12.1,77,J.K. Dobbins,15713535,4900,BAL,BAL,IND
RB,7.9,9.6,14.1,60,Zack Moss,15713523,5200,BUF,SEA,BUF
RB,6.8,9.2,12.5,66,Le'Veon Bell,15713531,5100,KC,CAR,KC
RB,7.2,8.9,10.3,109,J.D. McKissic,15713553,4300,WAS,NYG,WAS
RB,7.6,8.8,10.0,107,Nyheim Hines,15713551,4400,IND,BAL,IND
RB,5.8,8.6,11.3,103,Joshua Kelley,15713549,4400,LAC,LV,LAC
RB,7.0,8.5,10.5,62,Phillip Lindsay,15713521,5200,DEN,DEN,ATL
RB,2.4,7.5,10.6,153,Jordan Howard,15713645,4000,MIA,MIA,ARI
RB,4.5,7.4,12.5,84,Gus Edwards,15713539,4800,BAL,BAL,IND
RB,6.9,7.2,6.9,83,Mark Ingram II,15713537,4800,BAL,BAL,IND
RB,5.0,7.2,12.5,24,Mike Davis,15713495,6700,CAR,CAR,KC
RB,4.9,7.0,8.3,173,Adrian Peterson,15713605,4000,DET,DET,MIN
RB,5.4,6.7,7.7,146,Brian Hill,15713657,4000,ATL,DEN,ATL
RB,3.3,6.0,8.3,191,Tony Pollard,15713571,4000,DAL,PIT,DAL
RB,3.7,5.9,7.5,169,Alexander Mattison,15713559,4000,MIN,DET,MIN
WR,3.7,5.6,7.0,215,Cordarrelle Patterson,15713825,3200,CHI,CHI,TEN
RB,2.1,5.5,7.7,152,Patrick Laird,15713643,4000,MIA,MIA,ARI
RB,5.0,5.4,6.1,161,Chris Thompson,15713611,4000,JAX,HOU,JAX
RB,3.1,5.2,7.5,151,Eno Benjamin,15713637,4000,ARI,MIA,ARI
RB,4.5,5.2,6.6,112,Jordan Wilkins,15713555,4200,IND,BAL,IND
WR,18.4,20.3,23.9,1,DeAndre Hopkins,15713695,8200,ARI,MIA,ARI
WR,18.6,20.2,22.9,13,Keenan Allen,15713707,7000,LAC,LV,LAC
WR,17.6,19.2,22.0,10,Julio Jones,15713701,7200,ATL,DEN,ATL
WR,16.8,18.8,21.9,8,Stefon Diggs,15713699,7400,BUF,SEA,BUF
WR,16.5,18.3,21.0,21,Tyler Lockett,15713711,6800,SEA,SEA,BUF
WR,15.8,17.3,19.9,25,Adam Thielen,15713715,6700,MIN,DET,MIN
WR,15.5,17.2,20.5,29,Terry McLaurin,15713719,6500,WAS,NYG,WAS
WR,13.1,17.0,21.7,5,DK Metcalf,15713697,7800,SEA,SEA,BUF
WR,14.2,17.0,19.1,11,Tyreek Hill,15713703,7100,KC,CAR,KC
WR,15.8,17.0,20.4,18,Allen Robinson II,15713709,6900,CHI,CHI,TEN
WR,14.6,16.0,20.6,33,Robby Anderson,15713723,6300,CAR,CAR,KC
WR,13.8,15.8,18.9,39,Justin Jefferson,15713727,6100,MIN,DET,MIN
WR,11.8,15.0,19.1,23,Will Fuller V,15713713,6800,HOU,HOU,JAX
WR,11.8,14.9,18.6,27,A.J. Brown,15713717,6600,TEN,CHI,TEN
WR,11.6,13.8,16.5,63,DeVante Parker,15713745,5200,MIA,MIA,ARI
WR,11.6,13.8,17.8,67,Marvin Jones Jr.,15713749,5100,DET,DET,MIN
WR,11.7,13.7,17.6,51,Amari Cooper,15713735,5600,DAL,PIT,DAL
WR,11.5,13.5,18.1,37,JuJu Smith-Schuster,15713725,6200,PIT,PIT,DAL
WR,11.1,13.5,16.2,65,Mike Williams,15713751,5100,LAC,LV,LAC
WR,9.8,13.5,17.4,53,Brandin Cooks,15713739,5500,HOU,HOU,JAX
WR,11.6,13.0,18.4,72,Darius Slayton,15713753,5000,NYG,NYG,WAS
WR,7.6,12.7,16.9,48,Chase Claypool,15713733,5700,PIT,PIT,DAL
WR,8.4,12.3,16.9,58,Christian Kirk,15713743,5300,ARI,MIA,ARI
WR,11.5,12.1,13.4,87,Sterling Shepard,15713765,4800,NYG,NYG,WAS
WR,10.2,12.0,13.7,73,Diontae Johnson,15713755,5000,PIT,PIT,DAL
WR,10.2,11.9,15.4,93,Jerry Jeudy,15713767,4700,DEN,DEN,ATL
WR,9.6,11.9,12.9,42,Marquise Brown,15713729,6000,BAL,BAL,IND
WR,9.3,11.7,13.5,43,Corey Davis,15713731,5900,TEN,CHI,TEN
WR,9.3,11.6,16.9,95,John Brown,15713775,4600,BUF,SEA,BUF
WR,9.7,11.4,17.8,15,Calvin Ridley,15713705,7000,ATL,DEN,ATL
WR,10.5,11.4,11.7,64,DJ Chark Jr.,15713747,5200,JAX,HOU,JAX
WR,8.8,11.3,12.9,55,Cole Beasley,15713741,5400,BUF,SEA,BUF
WR,9.6,11.1,15.2,76,Tim Patrick,15713759,4900,DEN,DEN,ATL
WR,10.0,10.8,12.2,113,Laviska Shenault Jr.,15713785,4200,JAX,HOU,JAX
WR,8.9,10.8,12.0,81,CeeDee Lamb,15713757,4900,DAL,PIT,DAL
WR,9.3,10.8,16.7,75,Henry Ruggs III,15713761,4900,LV,LV,LAC
WR,9.1,10.6,11.7,200,Danny Amendola,15713809,3700,DET,DET,MIN
WR,8.5,10.1,11.1,195,Darnell Mooney,15713801,3900,CHI,CHI,TEN
WR,9.0,9.9,11.2,108,Zach Pascal,15713783,4300,IND,BAL,IND
WR,8.2,9.7,10.6,100,Russell Gage,15713779,4500,ATL,DEN,ATL
WR,7.8,9.6,10.5,116,Hunter Renfrow,15713789,4100,LV,LV,LAC
WR,8.8,9.4,10.1,185,Anthony Miller,15713795,4000,CHI,CHI,TEN
